num|uid|filepath|filename|line-start|line-end|name|parameters|returns|description
1||lua/autorun/client/cl_ui3d2d.lua|cl_ui3d2d.lua|52|54|ui3d2d.isPressing|||
2||lua/autorun/client/cl_ui3d2d.lua|cl_ui3d2d.lua|56|58|ui3d2d.isPressed|||
3||lua/autorun/client/cl_ui3d2d.lua|cl_ui3d2d.lua|75|83|isObstructed|eyePos, hitPos, ignoredEntity||
4||lua/autorun/client/cl_ui3d2d.lua|cl_ui3d2d.lua|95|137|ui3d2d.startDraw|pos, angles, scale, ignoredEntity||
5||lua/autorun/client/cl_ui3d2d.lua|cl_ui3d2d.lua|141|145|ui3d2d.endDraw|||
6||lua/autorun/client/cl_ui3d2d.lua|cl_ui3d2d.lua|148|150|ui3d2d.getCursorPos|||
7||lua/autorun/client/cl_ui3d2d.lua|cl_ui3d2d.lua|152|155|ui3d2d.isHovering|x, y, w, h||
8||lua/autorun/client/cl_ui3d2d_extras.lua|cl_ui3d2d_extras.lua|23|136|getParents|panel||
9||lua/autorun/client/cl_ui3d2d_extras.lua|cl_ui3d2d_extras.lua|37|136|absolutePanelPos|panel||
10||lua/autorun/client/cl_ui3d2d_extras.lua|cl_ui3d2d_extras.lua|50|55|pointInsidePanel|panel, x, y||
11||lua/autorun/client/cl_ui3d2d_extras.lua|cl_ui3d2d_extras.lua|60|136|checkHover|panel, x, y, found, hoveredPanel||
12||lua/autorun/client/cl_ui3d2d_extras.lua|cl_ui3d2d_extras.lua|112|135|ui3d2d.drawVgui|panel, pos, angles, scale, ignoredEntity||
13||lua/autorun/client/cl_ui3d2d_extras.lua|cl_ui3d2d_extras.lua|119|121|gui.MouseX|||
14||lua/autorun/client/cl_ui3d2d_extras.lua|cl_ui3d2d_extras.lua|123|125|gui.MouseY|||
15||lua/autorun/zd_autorun.lua|zd_autorun.lua|87|502|timer_zdev|t||
16|ZDEV_FUNC_B625D863|lua/autorun/zd_autorun.lua|zd_autorun.lua|115|117|ZDEV.FILE.GetAllLoaded|||
17|ZDEV_FUNC_FA280C27|lua/autorun/zd_autorun.lua|zd_autorun.lua|120|122|ZDEV.FILE.Loaded|s_file||
18|ZDEV_FUNC_A7C35901|lua/autorun/zd_autorun.lua|zd_autorun.lua|125|127|ZDEV.FILE.SetLoaded|s_file||
19|ZDEV_FUNC_8E90F53A|lua/autorun/zd_autorun.lua|zd_autorun.lua|170|502|ZDEV.FILE.InitDataDirs|||
20|ZDEV_FUNC_DA5A67C6|lua/autorun/zd_autorun.lua|zd_autorun.lua|199|207|ZDEV.CONV.Create|var, val, flags, help||
21||lua/autorun/zd_autorun.lua|zd_autorun.lua|257|288|ZDEV.MSQL.Connect:onConnected|||
22||lua/autorun/zd_autorun.lua|zd_autorun.lua|272|275|q:onSuccess|data||
23||lua/autorun/zd_autorun.lua|zd_autorun.lua|276|280|q:onError|err, sql||
24||lua/autorun/zd_autorun.lua|zd_autorun.lua|283|286|MYSQL_DB:onConnectionFailed|err||
25|ZDEV_FUNC_6F602247|lua/autorun/zd_autorun.lua|zd_autorun.lua|418|427|ZDEV.CONV.EditorCallback|convar_name, value_old, value_new||
26|ZDEV_FUNC_30DE908D|lua/autorun/zd_autorun.lua|zd_autorun.lua|438|442|ZDEV.FONT.GetFontFiles|||
27|ZDEV_FUNC_29501EC9|lua/autorun/zd_autorun.lua|zd_autorun.lua|446|471|ZDEV.FONT.Register|newname, fontdata||function ZDEV.FONT.Register( newname, name, extended, size, weight, blur, scan, antialias, u, i, s, symbol, rotary, shadow, additive, outline )
28||lua/autorun/zd_autorun.lua|zd_autorun.lua|480|487|ZDEV.CONT.MATS.GetFiles|||
29||lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|20|154|RandomNumericString|num||
30|ZDEV_FUNC_A3D44342|lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|29|49|ZDEV.FILE.NewLog|dir||
31|ZDEV_FUNC_432AB938|lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|56|66|ZDEV.DBUG.RegisterClientEntity|ent, time||
32|ZDEV_FUNC_95AA6D4D|lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|68|78|ZDEV.DBUG.RegisterClientModel|mdl, time||
33|ZDEV_FUNC_41230FBD|lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|80|81|ZDEV.MDLS.Get|id||
34|ZDEV_FUNC_2E64B823|lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|86|90|ZDEV.DBUG.PrecacheModel|mdl||
35|ZDEV_FUNC_D166EBEB|lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|93|99|ZDEV.DBUG.CSModel|mdl||
36|ZDEV_FUNC_CB67566F|lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|102|109|ZDEV.DBUG.CSEntity|mdl||
37|ZDEV_FUNC_AFD1B86B|lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|112|114|ZDEV.DBUG.PrintAllEnts|||
38|ZDEV_FUNC_51C6E54A|lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|136|152|ZDEV.DBUG.GetRandomBone|ent||
39|ZDEV_FUNC_BBE4C00F|lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|158|174|ZDEV.DBUG.GetBoneInfo|ent, id||
40|ZDEV_FUNC_7B78150D|lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|177|309|ZDEV.DBUG.GetHitBoxes|ent||
